{{c1::spähen}} : <span class="content">forschend, suchend blicken</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">aus dem Fenster, um die Ecke, durch die Gardine spähen</span></span></div>
{{c1::Kopf}} : <span class="content">Person mit bestimmten [intellektuellen] Fähigkeiten; Person von bestimmter Intelligenz</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">sie ist ein kluger, fähiger Kopf</span></span></div>
{{c1::Kopf}} : <span class="content">an der Spitze von etwas stehende Person</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">der Kopf des Unternehmens</span></span></div>
{{c1::Kopf}} : <span class="content">Denk-, Willenskraft</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">er hat einen eigensinnigen, dicken Kopf</span></span> <span class="font_kursiv">(ist eigensinnig, dickköpfig)</span></li><li><span class="beispiel"><span class="font_normal">seinen Kopf anstrengen</span></span></li><li><span class="beispiel"><span class="font_normal">du musst nicht immer deinen Kopf <span class="font_kursiv">(Willen) </span>durchsetzen</span></span></li><li>(umgangssprachlich) <span class="beispiel"><span class="font_normal">etwas [noch] frisch im Kopf haben</span></span> <span class="font_kursiv">(sich [noch] gut an etwas erinnern)</span></li><li><span class="beispiel"><span class="font_normal">etwas im Kopf <span class="font_kursiv">(im Gedächtnis) </span>behalten</span></span></li><li><span class="beispiel"><span class="font_normal">ich weiß nicht, was in den Köpfen der Leute vorgeht</span></span> <span class="font_kursiv">(was sie denken)</span></li><li><span class="beispiel"><span class="font_normal">er hat nur Mädchen und Autos im Kopf</span></span> <span class="font_kursiv">(denkt nur an Mädchen und Autos)</span></li><li>(umgangssprachlich) <span class="beispiel"><span class="font_normal">du bist wohl nicht ganz richtig im Kopf</span></span> <span class="font_kursiv">(du bist wohl verrückt)</span></li></ul></div><div class="Wendungen"><h3>Wendungen, Redensarten, Sprichwörter</h3><ul><li><span class="iwtext">jemandem steht der Kopf nicht nach etwas</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal"><a href="http://www.duden.de/rechtschreibung/Sinn#b2-Bedeutung-3a" meta-ref-anker="#b2-Bedeutung-3a" meta-ref-id="10013414" meta-ref-name="Sinn" meta-type="art">Sinn 3a</a></span></span>)</span></li><li><span class="iwtext">einen klaren/kühlen Kopf bewahren/behalten</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">nicht nervös werden; die Übersicht behalten</span></span>)</span></li><li><span class="iwtext">den Kopf voll haben</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">an vieles zu denken haben, sich mit vielen Dingen gedanklich beschäftigen müssen</span></span>)</span></li><li><span class="iwtext">den Kopf verlieren</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">die Übersicht, die Ruhe, die Fassung verlieren</span></span>)</span></li><li><span class="iwtext">jemandem den Kopf verdrehen</span> <span class="content">(<span class="iw_kopf_info">umgangssprachlich:  </span><span class="iw_rumpf_info"><span class="font_normal">jemanden verliebt machen: <span class="beispiel"><span class="font_normal">er hat ihr den Kopf verdreht</span></span></span></span>)</span></li><li><span class="iwtext">sich <span class="font_normal">&lt;Dativ&gt;</span> den Kopf zerbrechen</span> <span class="content">(<span class="iw_kopf_info">umgangssprachlich:  </span><span class="iw_rumpf_info"><span class="font_normal">sehr angestrengt über etwas nachdenken: <span class="beispiel"><span class="font_normal">ich zerbreche mir den Kopf, was ich ihr schenken soll</span></span></span></span>)</span></li><li><span class="iwtext">sich <span class="font_normal">&lt;Dativ&gt;</span> einen Kopf machen</span> <span class="content">(<span class="iw_kopf_info">umgangssprachlich:  </span><span class="iw_rumpf_info"><span class="font_normal">sich Gedanken machen, über etwas nachdenken: <span class="beispiel"><span class="font_normal">darum/darüber mache ich mir doch keinen Kopf</span></span></span></span>)</span></li><li><span class="iwtext">aus dem Kopf</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">auswendig, ohne nachzusehen</span></span>)</span></li><li><span class="iwtext">jemandem nicht aus dem Kopf gehen/wollen</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">jemanden ständig beschäftigen</span></span>)</span></li><li><span class="iwtext">sich <span class="font_normal">&lt;Dativ&gt;</span> etwas aus dem Kopf schlagen</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">einen Plan o. Ä. aufgeben</span></span>)</span></li><li><span class="iwtext">sich <span class="font_normal">&lt;Dativ&gt;</span> etwas durch den Kopf gehen lassen</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">über eine Sache nachdenken</span></span>)</span></li><li><span class="iwtext">jemandem durch den Kopf schießen/gehen</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">jemandem [plötzlich] einfallen, in den Sinn kommen</span></span>)</span></li><li><span class="iwtext">jemandem im Kopf herumgehen</span> <span class="content">(<span class="iw_kopf_info">umgangssprachlich:  </span><span class="iw_rumpf_info"><span class="font_normal">jemanden sehr beschäftigen</span></span>)</span></li><li><span class="iwtext">sich <span class="font_normal">&lt;Dativ&gt;</span> etwas in den Kopf setzen</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">fest entschlossen sein, etwas zu tun: <span class="beispiel"><span class="font_normal">er hat sich in den Kopf gesetzt, sie zu heiraten</span></span></span></span>)</span></li><li><span class="iwtext">im Kopf [aus]rechnen</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">[aus]rechnen, ohne aufzuschreiben: <span class="beispiel"><span class="font_normal">die Kosten im Kopf ausrechnen</span></span></span></span>)</span></li><li><span class="iwtext">jemandem nicht in den Kopf [hinein]gehen/[hinein]wollen</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">jemandem unverständlich, unbegreiflich sein: <span class="beispiel"><span class="font_normal">ihr will nicht in den Kopf, dass er nur so wenig verdient</span></span></span></span>)</span></li><li class="noBottomMargin"><span class="iwtext">was man nicht im Kopf hat, [das] muss man in den Beinen haben</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">wenn man etwas vergisst, muss man einen Weg zweimal machen</span></span>)</span></li></ul></div>
{{c1::Kopf}} : <span class="content">Einzelperson innerhalb einer größeren Menge von Menschen</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">das Einkommen pro Kopf der Bevölkerung</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">der Eintritt kostet fünf Euro pro Kopf</span></span> <span class="font_kursiv">(für jeden)</span></li></ul></div>
{{c1::Kopf}} : <span class="content">rundlicher, oberer Teil von etwas<span class="term_img"><span><a class="colorbox-inline" href="?width=500&amp;height=500&amp;inline=true#largimage201100283700"><img meta-alt="Kopf - Streichhölzer mit farbigem Kopf" meta-bu="Streichhölzer mit farbigem Kopf - © MEV Verlag, Augsburg" meta-dateiname="Kopf-201100283700.jpg" meta-ref-id="201100283700" meta-size="medium" meta-title="Kopf - Streichhölzer mit farbigem Kopf" meta-type="image" src="http://duden.de/_media_/small/K/Kopf-201100283700.jpg"/></a><br/><span class="bu">Streichhölzer mit farbigem Kopf - © MEV Verlag, Augsburg</span><span style="display:none"><span class="colorboxbiga" id="largimage201100283700"><img class="hidden" src="http://duden.de/_media_/full/K/Kopf-201100283700.jpg" style="max-width:450px; max-height:450px;"/><br/><span class="bu">Streichhölzer mit farbigem Kopf - © MEV Verlag, Augsburg</span></span></span></span></span></span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">der Kopf der Stecknadel, des Streichholzes</span></span></li><li><span class="beispiel"><span class="font_normal">Disteln mit blauen Köpfen</span></span></li><li><span class="beispiel"><span class="font_normal">Nägel, Schrauben mit flachen Köpfen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">die Blumen lassen die Köpfe hängen</span></span> <span class="font_kursiv">(werden welk)</span></li></ul></div>
{{c1::Kopf}} : <span class="content">essbarer, rundlicher Teil bestimmter Gemüse- und Salatpflanzen, der etwa die Größe eines Menschenkopfes hat<span class="term_img"><span><a class="colorbox-inline" href="?width=500&amp;height=500&amp;inline=true#largimage201100283703"><img meta-alt="Kopf - Ein Kopf Blumenkohl" meta-bu="Ein Kopf Blumenkohl - © xmasbaby - Fotolia.com" meta-dateiname="Kopf-201100283703.jpg" meta-ref-id="201100283703" meta-size="medium" meta-title="Kopf - Ein Kopf Blumenkohl" meta-type="image" src="http://duden.de/_media_/small/K/Kopf-201100283703.jpg"/></a><br/><span class="bu">Ein Kopf Blumenkohl - © xmasbaby - Fotolia.com</span><span style="display:none"><span class="colorboxbiga" id="largimage201100283703"><img class="hidden" src="http://duden.de/_media_/full/K/Kopf-201100283703.jpg" style="max-width:450px; max-height:450px;"/><br/><span class="bu">Ein Kopf Blumenkohl - © xmasbaby - Fotolia.com</span></span></span></span></span></span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">ein Kopf Salat, Blumenkohl</span></span></div>
{{c1::Kopf}} : <span class="content">oberer Teil oder Vorderende von etwas, dem eine bestimmte Wichtigkeit zukommt<span class="term_img"><span><a class="colorbox-inline" href="?width=500&amp;height=500&amp;inline=true#largimage201100283706"><img meta-alt="Kopf - Bläser als Kopf eines Umzuges" meta-bu="Bläser als Kopf eines Umzuges - © Tourist Info Biberach/R. Kopf, Biberach an der Riß" meta-dateiname="Kopf-201100283706.jpg" meta-ref-id="201100283706" meta-size="medium" meta-title="Kopf - Bläser als Kopf eines Umzuges" meta-type="image" src="http://duden.de/_media_/small/K/Kopf-201100283706.jpg"/></a><br/><span class="bu">Bläser als Kopf eines Umzuges - © Tourist Info Biberach/R. Kopf, Biberach an der Riß</span><span style="display:none"><span class="colorboxbiga" id="largimage201100283706"><img class="hidden" src="http://duden.de/_media_/full/K/Kopf-201100283706.jpg" style="max-width:450px; max-height:450px;"/><br/><span class="bu">Bläser als Kopf eines Umzuges - © Tourist Info Biberach/R. Kopf, Biberach an der Riß</span></span></span></span></span></span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">der Kopf eines Briefbogens, einer Zeitung, einer Buchseite</span></span></li><li><span class="beispiel"><span class="font_normal">den Kopf des Zuges bildet die Musikgruppe</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">ich saß am Kopf der Tafel</span></span></li></ul></div>
{{c1::ermahnen}} : <dd class="content">eindringlich an eine Pflicht, an ein bestimmtes Verhalten erinnern</dd>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">jemanden zur Vorsicht ermahnen</span></span></li><li><span class="beispiel"><span class="font_normal">ich muss dich ernstlich ermahnen <span class="font_kursiv">(zurechtweisen)</span></span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">»Seid leise!«, ermahnte sie die Kinder</span></span></li></ul></div>
{{c1::Prozess}} : <span class="content">vor einem Gericht ausgetragener Rechtsstreit</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">einen Prozess verlieren</span></span></div><div class="Wendungen"><h3>Wendungen, Redensarten, Sprichwörter</h3><ul><li><span class="iwtext">jemandem den Prozess machen</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">jemanden für etwas in einem Prozess zur Verantwortung ziehen</span></span>)</span></li><li class="noBottomMargin"><span class="iwtext">[mit jemandem, etwas] kurzen Prozess machen</span> <span class="content">(<span class="iw_term">1. </span><span class="iw_rumpf_info"><span class="font_normal"><span class="font_kursiv">umgangssprachlich; </span>energisch, rasch, ohne große Bedenken und Rücksicht auf Einwände [mit jemandem, etwas] verfahren</span></span>.  <span class="iw_term">2. </span><span class="iw_rumpf_info"><span class="font_normal"><span class="font_kursiv">salopp; </span>jemanden skrupellos töten</span></span>.)</span></li></ul></div>
{{c1::Prozess}} : <span class="content">sich über eine gewisse Zeit erstreckender Vorgang, bei dem etwas [allmählich] entsteht, sich herausbildet</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">ein chemischer Prozess</span></span></li><li><span class="beispiel"><span class="font_normal">ein Prozess gegenseitiger Annäherung</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">der Prozess ist abgeschlossen</span></span></li></ul></div>
{{c1::gegenüberstehen}} : <span class="content">jemandem zugewandt stehen</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">plötzlich stand er seinem Chef gegenüber</span></span></div>
{{c1::gegenüberstehen}} : <span class="content">im Widerstreit stehen</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">sich gegenüberstehen</dd></dl></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">hier stehen sich verschiedene Auffassungen gegenüber</span></span></div>
{{c1::gegenüberstehen}} : <span class="content">gegen jemanden spielen</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">sich gegenüberstehen</dd></dl></div><div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">Sport</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">die beiden Mannschaften standen sich zum ersten Mal gegenüber</span></span></div>
{{c1::gegenüberstehen}} : <span class="content">im <a href="http://www.duden.de/rechtschreibung/Gegensatz#b2-Bedeutung-1" meta-ref-anker="#b2-Bedeutung-1" meta-ref-id="10034291" meta-ref-name="Gegensatz" meta-type="art">Gegensatz (1)</a> zu etwas stehen</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">gesunkene Einnahmen stehen gestiegenen Kosten gegenüber</span></span></div>
{{c1::gegenüberstehen}} : <span class="content">sich mit etwas auseinandersetzen müssen, mit etwas konfrontiert werden</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">großen Schwierigkeiten gegenüberstehen</span></span></div>
{{c1::gegenüberstehen}} : <span class="content">eine bestimmte Einstellung zu jemandem, etwas haben</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">er steht euch, dem Plan skeptisch, mit Misstrauen gegenüber</span></span></div>
{{c1::Scheinwelt}} : <dd class="content">nicht wirkliche [aber als wirklich erlebte] <a href="http://www.duden.de/rechtschreibung/Welt#b2-Bedeutung-4" meta-ref-anker="#b2-Bedeutung-4" meta-ref-id="10042142" meta-ref-name="Welt" meta-type="art">Welt (4)</a></dd>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">die Scheinwelt der Werbung</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">in einer Scheinwelt leben</span></span></li></ul></div>
{{c1::Ausgabe}} : <span class="content">das Ausgeben, Verteilen, Austeilen von etwas</span>	<div class="Grammatik"><h3>Grammatik</h3><dl>ohne Plural</dl></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">die Ausgabe des Essens, des Proviants</span></span></div>
{{c1::Ausgabe}} : <span class="content">das Aushändigen von etwas</span>	<div class="Grammatik"><h3>Grammatik</h3><dl>ohne Plural</dl></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">die Ausgabe der Bücher, der Post</span></span></div>
{{c1::Ausgabe}} : <span class="content">das Ausgeben (Verkauf, Emission) von Wertpapieren, Aktien, Briefmarken o. Ä.</span>	<div class="Grammatik"><h3>Grammatik</h3><dl>ohne Plural</dl></div><div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">Bankwesen, Postwesen</span></p></div>
{{c1::Ausgabe}} : <span class="content">(von Banknoten o. Ä.) das Ausgeben, Inumlaufbringen</span>	<div class="Grammatik"><h3>Grammatik</h3><dl>ohne Plural</dl></div><div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">Bankwesen</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">die Ausgabe neuer Zweieurostücke</span></span></div>
{{c1::Ausgabe}} : <span class="content">das Bekanntgeben, Verkünden von etwas</span>	<div class="Grammatik"><h3>Grammatik</h3><dl>ohne Plural</dl></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">die Ausgabe eines Befehls, einer Losung</span></span></div>
{{c1::Ausgabe}} : <span class="content">Ort, Stelle, wo etwas ausgegeben, ausgehändigt wird</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">die Ausgabe ist heute geschlossen</span></span></div>
{{c1::Ausgabe}} : <span class="content">Geldausgabe, aufzuwendende Geldsumme</span>	<div class="Grammatik"><h3>Grammatik</h3><dl>meist im Plural</dl></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">abzugsfähige, laufende, ungewöhnliche Ausgaben</span></span></div>
{{c1::Ausgabe}} : <span class="content">(von einem Druckwerk o. Ä.) Form der Veröffentlichung; Edition</span>	<div class="Abkuerzung"><h3>Abkürzung</h3><dl><dd><a href="http://www.duden.de/rechtschreibung/Ausg_" meta-ref-id="10126017" meta-ref-name="Ausg_" meta-type="art">Ausg.</a></dd></dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">eine gebundene, broschierte, kommentierte Ausgabe</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">eine Ausgabe erster, letzter Hand <span class="font_kursiv">(die erste, letzte vom Autor selbst betreute Ausgabe eines Werkes)</span></span></span></li></ul></div>
{{c1::Ausgabe}} : <span class="content"><a href="http://www.duden.de/rechtschreibung/Auflage#b2-Bedeutung-1a" meta-ref-anker="#b2-Bedeutung-1a" meta-ref-id="10015529" meta-ref-name="Auflage" meta-type="art">Auflage (1a)</a></span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">selten</span></p></div><div class="Abkuerzung"><h3>Abkürzung</h3><dl><dd><a href="http://www.duden.de/rechtschreibung/Ausg_" meta-ref-id="10126017" meta-ref-name="Ausg_" meta-type="art">Ausg.</a></dd></dl></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">die neueste Ausgabe des Wörterbuchs</span></span></div>
{{c1::Ausgabe}} : <span class="content">zu einem bestimmten Zeitpunkt erscheinende Nummer oder Folge einer Zeitung oder Zeitschrift</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">alte Ausgaben einer Zeitschrift sammeln</span></span></div>
{{c1::Ausgabe}} : <span class="content">(bei Rundfunk und Fernsehen) zu einem bestimmten Zeitpunkt gesendete oder ausgestrahlte Sendung</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">die letzte Ausgabe der Tagesschau kommt heute um 0.45 Uhr</span></span></div>
{{c1::Ausgabe}} : <span class="content">Ausführung; Form, in der etwas hergestellt wird</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">die viertürige Ausgabe des Autos</span></span></div>
{{c1::Ausgabe}} : <span class="content">Arbeitsergebnis eines Rechners, <a href="http://www.duden.de/rechtschreibung/Output#b2-Bedeutung-2" meta-ref-anker="#b2-Bedeutung-2" meta-ref-id="10064984" meta-ref-name="Output" meta-type="art">Output (2)</a></span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">EDV</span></p></div>
{{c1::umwerfen}} : <span class="content">durch einen heftigen Stoß o. Ä. bewirken, dass jemand, etwas umfällt</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">eine Vase, einen Tisch, die Figuren auf dem Schachbrett umwerfen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">er wurde von der Brandung umgeworfen</span></span></li></ul></div>
{{c1::umwerfen}} : <span class="content">umgraben; umpflügen</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">veraltet</span></p></div>
{{c1::umwerfen}} : <span class="content">jemandem, sich rasch, lose umhängen, umlegen</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">jemandem, sich eine Decke umwerfen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">ich warf [mir] rasch einen Mantel um</span></span></li></ul></div>
{{c1::umwerfen}} : <span class="content">jemanden aus der Fassung bringen</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">umgangssprachlich</span></p></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">ihn wirft so leicht nichts um</span></span></li><li><span class="beispiel"><span class="font_normal">das wirft selbst den stärksten Mann um!</span></span></li><li><span class="beispiel"><span class="font_normal">dieser [eine] Schnaps wird dich nicht [gleich] umwerfen <span class="font_kursiv">(betrunken machen)</span></span></span></li><li>&lt;häufig im 1. Partizip&gt;: <span class="beispiel"><span class="font_normal">ein umwerfendes Erlebnis</span></span></li><li><span class="beispiel"><span class="font_normal">etwas ist von umwerfender <span class="font_kursiv">(verblüffender) </span>Komik</span></span></li><li><span class="beispiel"><span class="font_normal">der Erfolg der neuen Band war umwerfend <span class="font_kursiv">(außergewöhnlich)</span></span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">die Hauptdarstellerin war einfach umwerfend, hat umwerfend gespielt, war umwerfend komisch</span></span></li></ul></div>
{{c1::umwerfen}} : <span class="content"><a href="http://www.duden.de/rechtschreibung/umstoszen#b2-Bedeutung-2a" meta-ref-anker="#b2-Bedeutung-2a" meta-ref-id="10174037" meta-ref-name="umstoszen" meta-type="art">umstoßen (2a)</a></span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">umgangssprachlich</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">die Beschlüsse werden wieder umgeworfen</span></span></div>
{{c1::umwerfen}} : <span class="content"><a href="http://www.duden.de/rechtschreibung/umstoszen#b2-Bedeutung-2b" meta-ref-anker="#b2-Bedeutung-2b" meta-ref-id="10174037" meta-ref-name="umstoszen" meta-type="art">umstoßen (2b)</a></span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">umgangssprachlich</span></p></div>
{{c1::Rennen}} : <dd class="content">sportlicher Wettbewerb, bei dem die Schnelligkeit, mit der eine Strecke zurückgelegt wird, über den Sieg entscheidet</dd>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">ein schnelles, spannendes Rennen</span></span></li><li><span class="beispiel"><span class="font_normal">das Rennen geht über fünfzig Runden, ist entschieden, gelaufen</span></span></li><li><span class="beispiel"><span class="font_normal">ein Rennen veranstalten</span></span></li><li><span class="beispiel"><span class="font_normal">ein Rennen gewinnen, verlieren</span></span></li><li><span class="beispiel"><span class="font_normal">er ist ein beherztes Rennen gelaufen, geritten, gefahren</span></span></li><li><span class="beispiel"><span class="font_normal">als Sieger aus dem Rennen hervorgehen</span></span></li><li><span class="beispiel"><span class="font_normal">dreißig Fahrer, Wagen, Pferde gingen ins Rennen</span></span></li><li>&lt;in übertragener Bedeutung&gt;: <span class="beispiel"><span class="font_normal">er liegt mit seiner Bewerbung gut im Rennen <span class="font_kursiv">(hat gute Aussichten auf Erfolg)</span></span></span></li><li>&lt;in übertragener Bedeutung&gt;: <span class="beispiel"><span class="font_normal">jemanden als Kandidaten ins Rennen schicken</span></span></li></ul></div><div class="Wendungen"><h3>Wendungen, Redensarten, Sprichwörter</h3><ul><li><span class="iwtext">totes Rennen</span> <span class="content">(<span class="iw_kopf_info">Jargon:  </span><span class="iw_rumpf_info"><span class="font_normal">Rennen, bei dem mehrere Teilnehmer[innen] gleichzeitig im Ziel eintreffen, bei dem ein einzelner Sieger, eine einzelne Siegerin nicht festgestellt werden kann</span></span>)</span></li><li><span class="iwtext">das Rennen machen</span> <span class="content">(<span class="iw_kopf_info">umgangssprachlich:  </span><span class="iw_rumpf_info"><span class="font_normal">bei einem Wettbewerb, einem Vergleich o. Ä. am erfolgreichsten sein, gewinnen</span></span>)</span></li><li class="noBottomMargin"><span class="iwtext">das Rennen ist gelaufen</span> <span class="content">(<span class="iw_kopf_info">umgangssprachlich:  </span><span class="iw_rumpf_info"><span class="font_normal">die Sache ist erledigt; es ist alles vorüber</span></span>)</span></li></ul></div>
{{c1::umschubsen}} : <dd class="content">durch Schubsen umstoßen</dd>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">jemanden, etwas umschubsen</span></span></div>
{{c1::nachschreien}} : <dd class="content">nachrufen</dd>	
{{c1::Vorwurf}} : <span class="content">Äußerung, mit der jemandem etwas vorgeworfen, jemandes Handeln, Verhalten gerügt wird</span>	<div class="Herkunft"><h3>Herkunft</h3><dl><dd class="content">zu <a href="http://www.duden.de/rechtschreibung/vorwerfen" meta-ref-id="10153505" meta-ref-name="vorwerfen" meta-type="art">vorwerfen</a></dd></dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">ein versteckter, offener, leiser, schwerer Vorwurf</span></span></li><li><span class="beispiel"><span class="font_normal">der Vorwurf der Vertragsbrüchigkeit, Untreue</span></span></li><li><span class="beispiel"><span class="font_normal">dieser Vorwurf trifft mich nicht, ist unberechtigt</span></span></li><li><span class="beispiel"><span class="font_normal">sein Blick war ein einziger, ein stummer Vorwurf</span></span></li><li><span class="beispiel"><span class="font_normal">das soll kein Vorwurf sein</span></span></li><li><span class="beispiel"><span class="font_normal">einen Vorwurf entkräften, [heftig] abwehren, [entschieden] zurückweisen</span></span></li><li><span class="beispiel"><span class="font_normal">ernste Vorwürfe gegen jemanden erheben</span></span></li><li><span class="beispiel"><span class="font_normal">ich machte ihr, mir wegen dieser Sache bittere, heftige Vorwürfe</span></span></li><li><span class="beispiel"><span class="font_normal">daraus kannst du ihm doch keinen Vorwurf machen</span></span></li><li><span class="beispiel"><span class="font_normal">diesen Vorwurf lasse ich nicht auf mir sitzen</span></span></li><li><span class="beispiel"><span class="font_normal">etwas als Vorwurf auffassen</span></span></li><li><span class="beispiel"><span class="font_normal">sich gegen einen Vorwurf wehren, zur Wehr setzen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">man kann ihm sein Verhalten nicht zum Vorwurf machen</span></span></li></ul></div>
{{c1::Vorwurf}} : <span class="content"><a href="http://www.duden.de/rechtschreibung/Vorlage#b2-Bedeutung-3a" meta-ref-anker="#b2-Bedeutung-3a" meta-ref-id="10067528" meta-ref-name="Vorlage" meta-type="art">Vorlage (3a)</a>; Thema, Gegenstand künstlerischer Bearbeitung</span>	<div class="Herkunft"><h3>Herkunft</h3><dl><dd class="content">mittelhochdeutsch vür-, vorwurf, Lehnübersetzung von lateinisch obiectum (<a href="http://www.duden.de/rechtschreibung/Objekt" meta-ref-id="10035423" meta-ref-name="Objekt" meta-type="art">Objekt</a>), ursprünglich = das vor die Sinne Geworfene, das den Sinnen, dem Subjekt Gegenüberstehende</dd></dl></div><div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">selten</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">das Ereignis diente als Vorwurf für eine Novelle, zu seinem Roman</span></span></div>
{{c1::scharf}} : <span class="content">gut und leicht schneidend</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">ein scharfes Messer</span></span></li><li><span class="beispiel"><span class="font_normal">eine scharfe Schneide</span></span></li><li><span class="beispiel"><span class="font_normal">die Axt, der Hobel, die Säge muss mal wieder richtig scharf gemacht werden</span></span></li></ul></div><div class="Wendungen"><h3>Wendungen, Redensarten, Sprichwörter</h3><span class="iwtext">allzu scharf macht schartig</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">übertriebene Strenge schadet nur</span></span>)</span></div>
